Commodities,Periods add,Instance,Gap,Time to solve,Iterations,Solved,Solved time,Reported \rho in paper
200,84,4,0.00926833,20,2,1,20,42
200,84,5,0.0098025,45,4,1,45,42
200,96,1,0,24,3,1,24,48
200,96,2,0.00646687,23,2,1,23,48
200,96,3,0.00894389,35,4,1,35,48
200,96,4,0.00411719,19,2,1,19,48
200,96,5,0.00394012,35,4,1,35,48
250,12,1,0.00225887,46,4,1,46,6
250,12,2,0.00850419,38,3,1,38,6
250,12,3,0.00829556,52,4,1,52,6
250,12,4,0.00361158,38,3,1,38,6
250,12,5,1.20E-16,36,3,1,36,6
250,24,1,0.00314893,27,2,1,27,12
250,24,2,0.000949895,27,2,1,27,12
250,24,3,0,39,3,1,39,12
250,24,4,0.00628486,26,2,1,26,12
250,24,5,0.00665974,36,3,1,36,12
250,36,1,0.00281934,49,4,1,49,18
250,36,2,0.00886028,53,4,1,53,18
250,36,3,0.00224332,41,3,1,41,18
250,36,4,0.00602783,41,3,1,41,18
250,36,5,0.00524842,54,4,1,54,18
250,48,1,0.00976139,96,6,1,96,24
250,48,2,0.00841495,70,5,1,70,24
250,48,3,0.00462293,76,5,1,76,24
250,48,4,0.00562659,107,6,1,107,24
250,48,5,0.00629649,74,5,1,74,24
250,60,1,0.00595067,28,2,1,28,30
250,60,2,0.00660316,45,3,1,45,30
250,60,3,0.00937052,31,2,1,31,30
250,60,4,0.00793069,46,3,1,46,30
250,60,5,0.00516293,54,4,1,54,30
250,72,1,0.00145781,23,2,1,23,36
250,72,2,0.00738718,24,2,1,24,36
250,72,3,0.00853519,32,2,1,32,36
250,72,4,0.00897143,64,4,1,64,36
250,72,5,0.00735964,44,3,1,44,36
250,84,1,0.00893221,83,4,1,83,42
250,84,2,0.00698016,30,2,1,30,42
250,84,3,0.00959105,43,3,1,43,42
250,84,4,0.00778502,29,2,1,29,42
250,84,5,0.00867338,38,2,1,38,42
250,96,1,0.00430264,36,2,1,36,48
250,96,2,0.00849548,49,3,1,49,48
